Site_ID,Grade_Description,Date,Price,Profit,Volume,Competitor_Price,Fuel_Cost
10838,Midgrade Gas,2019-01-01,2.039,18.81,105.78,2.184,1.4098892509999998
10838,Premium Gas,2019-01-01,2.339,25.11,76.57,2.4965,1.534256839
10838,Unleaded Gas,2019-01-01,1.739,-18.27,255.6,1.784,1.3237
10838,Midgrade Gas,2019-01-02,2.039,18.39,103.41,2.1815,1.434353061
10838,Premium Gas,2019-01-02,2.339,22.36,68.19,2.4915,1.535803129
10838,Unleaded Gas,2019-01-02,1.739,-33.6,409.14,1.779,1.3256
10838,Midgrade Gas,2019-01-03,2.039,14.28,79.2,2.1790000000000003,1.454955269
10838,Premium Gas,2019-01-03,2.339,32.81,90.45,2.489,1.553483876
10838,Unleaded Gas,2019-01-03,1.739,-57.39,601.93,1.7615,1.3495
10838,Midgrade Gas,2019-01-04,2.039,7.27,40.26,2.1765,1.453068571
10838,Premium Gas,2019-01-04,2.339,78.73,217.06,2.4865,1.552686536
10838,Unleaded Gas,2019-01-04,1.739,-56.6,626.66,1.759,1.3478
10838,Midgrade Gas,2019-01-05,2.039,4.34,24.09,2.1765,1.4627829630000002
10838,Premium Gas,2019-01-05,2.339,37.45,103.28,2.4865,1.55120155
10838,Unleaded Gas,2019-01-05,1.739,-52.59,572.17,1.759,1.3478
10838,Midgrade Gas,2019-01-06,2.039,3.7,20.52,2.1765,1.425495949
10838,Premium Gas,2019-01-06,2.339,21.94,60.51,2.4865,1.564167253
10838,Unleaded Gas,2019-01-06,1.739,-39.22,454.82,1.759,1.3478
10838,Midgrade Gas,2019-01-07,2.199,5.75,19.67,2.1765,1.43541833
10838,Premium Gas,2019-01-07,2.499,27.53,75.93,2.4865,1.5352974519999998
10838,Unleaded Gas,2019-01-07,1.899,-16.59,694.85,1.804,1.3408
10838,Midgrade Gas,2019-01-08,2.199,21.96,64.55,2.2665,1.4846761119999998
10838,Premium Gas,2019-01-08,2.499,42.69,81.64,2.5765,1.5376954230000002
10838,Unleaded Gas,2019-01-08,1.899,48.9,669.99,1.899,1.3626
10838,Midgrade Gas,2019-01-09,2.219,20.44,56.73,2.2215,1.50478396
10838,Premium Gas,2019-01-09,2.519,61.87,115.49,2.5315,1.6150688030000002
10838,Unleaded Gas,2019-01-09,1.919,55.51,589.96,1.8965,1.4254
10838,Midgrade Gas,2019-01-10,2.189,19.64,59.43,2.2615,1.508636757
10838,Premium Gas,2019-01-10,2.489,90.69,173.58,2.5715,1.611578631
10838,Unleaded Gas,2019-01-10,1.889,47.76,623.65,1.894,1.4307
10838,Midgrade Gas,2019-01-11,2.189,15.95,48.25,2.2515,1.478013809
10838,Premium Gas,2019-01-11,2.489,56.01,109.24,2.5615,1.57148741
10838,Unleaded Gas,2019-01-11,1.889,39.69,619.72,1.879,1.4007
10838,Midgrade Gas,2019-01-12,2.189,8.03,24.33,2.239,1.4748387280000002
10838,Premium Gas,2019-01-12,2.489,30.94,60.36,2.549,1.608657553
10838,Unleaded Gas,2019-01-12,1.889,41.05,585.65,1.864,1.4007
10838,Midgrade Gas,2019-01-13,2.189,23.35,70.72,2.239,1.5073727
10838,Premium Gas,2019-01-13,2.489,37.01,72.18,2.549,1.616661505
10838,Unleaded Gas,2019-01-13,1.889,31.9,563.62,1.864,1.4007
10838,Midgrade Gas,2019-01-14,2.1790000000000003,7.46,22.86,2.229,1.43975875
10838,Premium Gas,2019-01-14,2.479,72.72,144.44,2.539,1.554818534
10838,Unleaded Gas,2019-01-14,1.879,38.48,631.49,1.854,1.3638
10838,Midgrade Gas,2019-01-15,2.1790000000000003,16.56,54.69,2.229,1.527788023
10838,Premium Gas,2019-01-15,2.479,52.71,104.13,2.539,1.608753289
10838,Unleaded Gas,2019-01-15,1.879,15.68,578.0,1.844,1.4114
10838,Midgrade Gas,2019-01-16,2.249,33.01,88.59,2.2215,1.525600875
10838,Premium Gas,2019-01-16,2.549,42.5,74.18,2.5315,1.594235741
10838,Unleaded Gas,2019-01-16,1.949,61.31,688.09,1.8365,1.4159
10838,Midgrade Gas,2019-01-17,2.249,14.05,37.66,2.2215,1.526840407
