SalesTransactionID,SaleDateTime,LocationID,ShipTo,SaleAmount,SaleTaxAmount,TotalSaleAmount,FeeAmount,FeePcntRate,PerTranAmount,Dispensed_Fuel_Additives_Quantity,Dispensed_Fuel_Additives_Amount,Merchandise_Quantity,Merchandise_Amount
3187967560,31:00.0,9231,49607500,5.31,0.13,5.31,-0.23,0.0095,0.18,0,0,2,5.18
3187967561,13:00.0,9231,49607500,5.51,0.13,5.51,-0.23,0.0095,0.18,0,0,2,5.38
3187967653,40:00.0,12320,706240900,5.44,0.26,5.44,-0.23,0.0095,0.18,0,0,2,5.18
3187967679,21:00.0,12320,706240900,5.39,0.21,5.39,-0.23,0.0095,0.18,0,0,2,5.18
3187967681,00:00.0,12320,706240900,5.26,0.18,5.26,-0.23,0.0095,0.18,0,0,2,5.08
3187967682,41:00.0,12320,706240900,5.01,0.23,5.01,-0.23,0.0095,0.18,0,0,2,4.78
3187967684,04:00.0,12320,706240900,5.61,0.43,5.61,-0.23,0.0095,0.18,0,0,2,5.18
3187967898,08:00.0,9273,55678700,5.63,0.15,5.63,-0.23,0.0095,0.18,0,0,2,5.48
3187967901,26:00.0,9273,55678700,5.61,0.32,5.61,-0.23,0.0095,0.18,0,0,2,5.29
3187967939,04:00.0,9949,209517200,5.18,0.1,5.18,-0.23,0.0095,0.18,0,0,2,5.08
3187967963,41:00.0,13713,911651800,5.19,0.21,5.19,-0.23,0.0095,0.18,0,0,2,4.98
3187967964,58:00.0,13713,911651800,5.11,0.33,5.11,-0.23,0.0095,0.18,0,0,2,4.78
3187968010,53:00.0,10261,272641200,5.32,0.39,5.32,-0.23,0.0095,0.18,0,0,2,4.93
3187968140,51:00.0,12267,503798100,5.07,0.39,5.07,-0.23,0.0095,0.18,0,0,2,4.68
3187968141,56:00.0,12267,503798100,5.07,0.39,5.07,-0.23,0.0095,0.18,0,0,2,4.68
3187968144,44:00.0,12267,503798100,5.62,0.24,5.62,-0.23,0.0095,0.18,0,0,2,5.38
3187968328,46:00.0,9724,165573700,5.61,0.43,5.61,-0.23,0.0095,0.18,0,0,2,5.18
3187968330,59:00.0,9724,165573700,5.5,0.42,5.5,-0.23,0.0095,0.18,0,0,2,5.08
3187968433,58:00.0,14156,855188900,5.57,0.44,5.57,-0.23,0.0095,0.18,0,0,2,5.13
3187968539,06:00.0,13738,829138700,5.17,0.39,5.17,-0.23,0.0095,0.18,0,0,2,4.78
3187968582,38:00.0,13425,882674500,5.77,0.19,5.77,-0.23,0.0095,0.18,0,0,2,5.58
3187968586,14:00.0,13425,882674500,5.17,0.39,5.17,-0.23,0.0095,0.18,0,0,2,4.78
3187969860,37:00.0,11447,448646000,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3187969862,56:00.0,11447,448646000,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3187969866,00:00.0,12320,706240900,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3187969872,53:00.0,12320,706240900,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3187969879,06:00.0,9487,56525900,5.49,0.41,5.49,-0.23,0.0095,0.18,0,0,2,5.08
3187969888,03:00.0,13257,689421600,5.22,0.25,5.22,-0.23,0.0095,0.18,0,0,2,4.97
3187969889,17:00.0,13257,689421600,5.14,0.16,5.14,-0.23,0.0095,0.18,0,0,2,4.98
3187969920,11:00.0,13784,773838800,5.59,0.41,5.59,-0.23,0.0095,0.18,0,0,2,5.18
3187970002,04:00.0,10780,317081800,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3187970066,21:00.0,12924,630397800,5.34,0.34,5.34,-0.23,0.0095,0.18,0,0,2,5
3187970102,03:00.0,13822,934063900,5.33,0.35,5.33,-0.23,0.0095,0.18,0,0,2,4.98
3187970118,22:00.0,11977,461550600,5.26,0.18,5.26,-0.23,0.0095,0.18,0,0,2,5.08
3187970119,08:00.0,11977,461550600,5.16,0.08,5.16,-0.23,0.0095,0.18,0,0,2,5.08
3187970140,46:00.0,11731,429831100,5.7,0.32,5.7,-0.23,0.0095,0.18,0,0,2,5.38
3187970141,16:00.0,11731,429831100,5.7,0.32,5.7,-0.23,0.0095,0.18,0,0,2,5.38
3187970206,49:00.0,13675,940827900,5.21,0.13,5.21,-0.23,0.0095,0.18,0,0,2,5.08
3187970290,30:00.0,10616,307514000,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3187970292,52:00.0,10616,307514000,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3187970431,24:00.0,9564,114914500,5.59,0.41,5.59,-0.23,0.0095,0.18,0,0,2,5.18
3187970800,03:00.0,13822,934063900,5.33,0.35,5.33,-0.23,0.0095,0.18,0,0,2,4.98
3187970801,14:00.0,13822,934063900,5.45,0.36,5.45,-0.23,0.0095,0.18,0,0,2,5.09
3187970805,12:00.0,13822,934063900,5.33,0.35,5.33,-0.23,0.0095,0.18,0,0,2,4.98
3187971066,12:00.0,13425,882674500,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3187971067,09:00.0,13425,882674500,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3188064097,12:00.0,11130,407447200,5.63,0.35,5.63,-0.23,0.0095,0.18,0,0,2,5.28
3188064101,39:00.0,11130,407447200,5.64,0.35,5.64,-0.23,0.0095,0.18,0,0,2,5.29
3188064214,02:00.0,9839,179913900,5.28,0.4,5.28,-0.23,0.0095,0.18,0,0,2,4.88
3188064300,38:00.0,12415,515217800,5.61,0.43,5.61,-0.23,0.0095,0.18,0,0,2,5.18
3188064386,51:00.0,12054,482565900,5.61,0.33,5.61,-0.23,0.0095,0.18,0,0,2,5.28
3188064412,39:00.0,12054,482565900,5.3,0.31,5.3,-0.23,0.0095,0.18,0,0,2,4.99
3188064418,21:00.0,12054,482565900,5.52,0.14,5.52,-0.23,0.0095,0.18,0,0,2,5.38
3188064520,51:00.0,12441,696431600,5.57,0.44,5.57,-0.23,0.0095,0.18,0,0,2,5.13
3188064521,02:00.0,12441,696431600,5.66,0.38,5.66,-0.23,0.0095,0.18,0,0,2,5.28
3188064523,23:00.0,14552,970928800,5.06,0.18,5.06,-0.23,0.0095,0.18,0,0,2,4.88
3188064526,18:00.0,14552,970928800,5.35,0.27,5.35,-0.23,0.0095,0.18,0,0,2,5.08
3188064590,04:00.0,14552,970928800,5.44,0.26,5.44,-0.23,0.0095,0.18,0,0,2,5.18
3188064711,27:00.0,9709,117023200,5.16,0.08,5.16,-0.23,0.0095,0.18,0,0,2,5.08
3188064714,28:00.0,9709,117023200,5.36,0.08,5.36,-0.23,0.0095,0.18,0,0,2,5.28
3188064716,09:00.0,9709,117023200,5.05,0.07,5.05,-0.23,0.0095,0.18,0,0,2,4.98
3188064752,02:00.0,9709,117023200,5.58,0.08,5.58,-0.23,0.0095,0.18,0,0,2,5.5
3188064754,54:00.0,9709,117023200,5.46,0.08,5.46,-0.23,0.0095,0.18,0,0,2,5.38
3188064757,02:00.0,9709,117023200,5.36,0.08,5.36,-0.23,0.0095,0.18,0,0,2,5.28
3188064806,37:00.0,14581,970314100,5.07,0.39,5.07,-0.23,0.0095,0.18,0,0,2,4.68
3188064809,28:00.0,14581,970314100,5.5,0.42,5.5,-0.23,0.0095,0.18,0,0,2,5.08
3188064810,50:00.0,14581,970314100,5.17,0.39,5.17,-0.23,0.0095,0.18,0,0,2,4.78
3188064890,14:00.0,9745,124795600,5.52,0.24,5.52,-0.23,0.0095,0.18,0,0,2,5.28
3188064898,15:00.0,14252,877214700,5.5,0.42,5.5,-0.23,0.0095,0.18,0,0,2,5.08
3188064899,14:00.0,14252,877214700,5.73,0.44,5.73,-0.23,0.0095,0.18,0,0,2,5.29
3188064900,38:00.0,14252,877214700,5.66,0.18,5.66,-0.23,0.0095,0.18,0,0,2,5.48
3188064902,48:00.0,14252,877214700,5.66,0.18,5.66,-0.23,0.0095,0.18,0,0,2,5.48
3188064903,09:00.0,14252,877214700,5.05,0.17,5.05,-0.23,0.0095,0.18,0,0,2,4.88
3188064904,38:00.0,14252,877214700,5.09,0.21,5.09,-0.23,0.0095,0.18,0,0,2,4.88
3188065030,21:00.0,13572,875603300,5.55,0.22,5.55,-0.23,0.0095,0.18,0,0,2,5.33
3188065031,50:00.0,13572,875603300,5.48,0.4,5.48,-0.23,0.0095,0.18,0,0,2,5.08
3188065066,09:00.0,9745,124795600,5.16,0.08,5.16,-0.23,0.0095,0.18,0,0,2,5.08
3188065176,49:00.0,13601,741291900,5.09,0.31,5.09,-0.23,0.0095,0.18,0,0,2,4.78
3188065177,28:00.0,13601,741291900,5.09,0.31,5.09,-0.23,0.0095,0.18,0,0,2,4.78
