Site_ID,Grade_Description,Date,Volume
10808,Unleaded Gas,2019-05-22,0.0
10808,Unleaded Gas,2019-05-23,0.0
10808,Unleaded Gas,2019-05-24,0.0
10808,Unleaded Gas,2019-05-25,0.0
10808,Unleaded Gas,2019-05-26,0.0
10808,Unleaded Gas,2019-05-27,0.0
10808,Unleaded Gas,2019-05-28,0.0
10808,Unleaded Gas,2019-05-29,0.0
10808,Unleaded Gas,2019-05-30,0.0
10808,Unleaded Gas,2019-05-31,0.0
10808,Unleaded Gas,2019-06-01,0.0
10808,Unleaded Gas,2019-06-02,0.0
10808,Unleaded Gas,2019-06-03,0.0
10808,Unleaded Gas,2019-06-04,0.01
10808,Unleaded Gas,2019-06-05,0.0
10808,Unleaded Gas,2019-06-06,0.0
10808,Unleaded Gas,2019-06-07,0.0
10808,Unleaded Gas,2019-06-08,0.0
10808,Unleaded Gas,2019-06-09,0.02
10808,Unleaded Gas,2019-06-10,0.0
10808,Unleaded Gas,2019-06-11,0.0
10808,Unleaded Gas,2019-06-12,0.0
10808,Unleaded Gas,2019-06-13,0.0
10808,Unleaded Gas,2019-06-14,0.0
10808,Unleaded Gas,2019-06-15,0.0
10808,Unleaded Gas,2019-06-16,0.0
10808,Unleaded Gas,2019-06-17,0.0
10808,Unleaded Gas,2019-06-21,0.0
10808,Unleaded Gas,2019-06-22,0.0
10808,Unleaded Gas,2019-06-23,0.0
10808,Unleaded Gas,2019-06-24,0.0
10808,Unleaded Gas,2019-06-25,0.0
10808,Unleaded Gas,2019-06-26,0.0
10808,Unleaded Gas,2019-06-27,0.0
10808,Unleaded Gas,2019-06-28,1558.35
10808,Unleaded Gas,2019-06-29,1511.0
10808,Unleaded Gas,2019-06-30,949.06
10808,Unleaded Gas,2019-07-01,1463.79
10808,Unleaded Gas,2019-07-02,1163.96
10808,Unleaded Gas,2019-07-03,1473.34
10808,Unleaded Gas,2019-07-04,931.76
10808,Unleaded Gas,2019-07-05,1590.5
10808,Unleaded Gas,2019-07-06,1011.3
10808,Unleaded Gas,2019-07-07,822.23
10808,Unleaded Gas,2019-07-08,1351.9
10808,Unleaded Gas,2019-07-09,1482.72
10808,Unleaded Gas,2019-07-10,1452.13
10808,Unleaded Gas,2019-07-11,1626.39
10808,Unleaded Gas,2019-07-12,2194.34
10808,Unleaded Gas,2019-07-13,1386.46
10808,Unleaded Gas,2019-07-14,989.68
10808,Unleaded Gas,2019-07-15,1424.25
10808,Unleaded Gas,2019-07-16,1682.06
10808,Unleaded Gas,2019-07-17,1617.25
10808,Unleaded Gas,2019-07-18,1782.73
10808,Unleaded Gas,2019-07-19,1561.83
10808,Unleaded Gas,2019-07-20,1480.28
10808,Unleaded Gas,2019-07-21,1085.19
10808,Unleaded Gas,2019-07-22,1104.55
10808,Unleaded Gas,2019-07-23,1485.56
10808,Unleaded Gas,2019-07-24,1512.22
10808,Unleaded Gas,2019-07-25,1607.7
10808,Unleaded Gas,2019-07-26,1491.6
10808,Unleaded Gas,2019-07-27,1104.27
10808,Unleaded Gas,2019-07-28,1005.26
10808,Unleaded Gas,2019-07-29,1348.64
10808,Unleaded Gas,2019-07-30,1420.2
10808,Unleaded Gas,2019-07-31,1614.39
10808,Unleaded Gas,2019-08-01,1882.44
10808,Unleaded Gas,2019-08-02,2086.31
10808,Unleaded Gas,2019-08-03,1256.88
10808,Unleaded Gas,2019-08-04,947.87
10808,Unleaded Gas,2019-08-05,1577.41
10808,Unleaded Gas,2019-08-06,1348.56
10808,Unleaded Gas,2019-08-07,1517.96
10808,Unleaded Gas,2019-08-08,1662.43
10808,Unleaded Gas,2019-08-09,1828.79
10808,Unleaded Gas,2019-08-10,1204.67
10808,Unleaded Gas,2019-08-11,1057.78
10808,Unleaded Gas,2019-08-12,1524.97
10808,Unleaded Gas,2019-08-13,1454.06
10808,Unleaded Gas,2019-08-14,1409.99
10808,Unleaded Gas,2019-08-15,1769.69
10808,Unleaded Gas,2019-08-16,2038.01
10808,Unleaded Gas,2019-08-17,1259.88
10808,Unleaded Gas,2019-08-18,1061.78
10808,Unleaded Gas,2019-08-19,1842.77
10808,Unleaded Gas,2019-08-20,1965.78
10808,Unleaded Gas,2019-08-21,2062.69
10808,Unleaded Gas,2019-08-22,1617.2
10808,Unleaded Gas,2019-08-23,1922.76
10808,Unleaded Gas,2019-08-24,1300.33
10808,Unleaded Gas,2019-08-25,955.18
10808,Unleaded Gas,2019-08-26,1595.77
10808,Unleaded Gas,2019-08-27,1319.73
10808,Unleaded Gas,2019-08-28,1697.57
10808,Unleaded Gas,2019-08-29,1706.91
10808,Unleaded Gas,2019-08-30,2096.44
10808,Unleaded Gas,2019-08-31,1366.71
10808,Unleaded Gas,2019-09-01,1377.53
10808,Unleaded Gas,2019-09-02,1247.72
10808,Unleaded Gas,2019-09-03,1847.94
