Site_ID,Grade_Description,Date,Profit
10808,Unleaded Gas,2019-05-17,0.0
10808,Unleaded Gas,2019-05-18,0.0
10808,Unleaded Gas,2019-05-19,0.01
10808,Unleaded Gas,2019-05-20,0.0
10808,Unleaded Gas,2019-05-21,0.0
10808,Unleaded Gas,2019-05-22,0.0
10808,Unleaded Gas,2019-05-23,0.0
10808,Unleaded Gas,2019-05-24,0.0
10808,Unleaded Gas,2019-05-25,0.0
10808,Unleaded Gas,2019-05-26,0.0
10808,Unleaded Gas,2019-05-27,0.0
10808,Unleaded Gas,2019-05-28,0.0
10808,Unleaded Gas,2019-05-29,0.0
10808,Unleaded Gas,2019-05-30,0.0
10808,Unleaded Gas,2019-05-31,0.0
10808,Unleaded Gas,2019-06-01,0.0
10808,Unleaded Gas,2019-06-02,0.0
10808,Unleaded Gas,2019-06-03,0.0
10808,Unleaded Gas,2019-06-04,0.01
10808,Unleaded Gas,2019-06-05,0.0
10808,Unleaded Gas,2019-06-06,0.0
10808,Unleaded Gas,2019-06-07,0.0
10808,Unleaded Gas,2019-06-08,0.0
10808,Unleaded Gas,2019-06-09,0.0
10808,Unleaded Gas,2019-06-10,0.0
10808,Unleaded Gas,2019-06-11,0.0
10808,Unleaded Gas,2019-06-12,0.0
10808,Unleaded Gas,2019-06-13,0.0
10808,Unleaded Gas,2019-06-14,0.0
10808,Unleaded Gas,2019-06-15,0.0
10808,Unleaded Gas,2019-06-16,0.0
10808,Unleaded Gas,2019-06-17,0.0
10808,Unleaded Gas,2019-06-21,0.0
10808,Unleaded Gas,2019-06-22,0.0
10808,Unleaded Gas,2019-06-23,0.0
10808,Unleaded Gas,2019-06-24,0.0
10808,Unleaded Gas,2019-06-25,0.0
10808,Unleaded Gas,2019-06-26,0.0
10808,Unleaded Gas,2019-06-27,0.0
10808,Unleaded Gas,2019-06-28,-115.82
10808,Unleaded Gas,2019-06-29,-19.92
10808,Unleaded Gas,2019-06-30,-46.21
10808,Unleaded Gas,2019-07-01,-75.88
10808,Unleaded Gas,2019-07-02,77.33
10808,Unleaded Gas,2019-07-03,111.46
10808,Unleaded Gas,2019-07-05,-95.17
10808,Unleaded Gas,2019-07-06,-62.34
10808,Unleaded Gas,2019-07-07,-40.71
10808,Unleaded Gas,2019-07-08,-66.52
10808,Unleaded Gas,2019-07-09,-75.81
10808,Unleaded Gas,2019-07-10,-71.29
10808,Unleaded Gas,2019-07-11,115.97
10808,Unleaded Gas,2019-07-13,12.2
10808,Unleaded Gas,2019-07-14,8.3
10808,Unleaded Gas,2019-07-15,12.49
10808,Unleaded Gas,2019-07-16,15.44
10808,Unleaded Gas,2019-07-17,13.98
10808,Unleaded Gas,2019-07-18,68.85
10808,Unleaded Gas,2019-07-19,59.04
10808,Unleaded Gas,2019-07-20,96.79
10808,Unleaded Gas,2019-07-21,27.31
10808,Unleaded Gas,2019-07-22,94.08
10808,Unleaded Gas,2019-07-23,128.24
10808,Unleaded Gas,2019-07-24,124.12
10808,Unleaded Gas,2019-07-25,126.12
10808,Unleaded Gas,2019-07-26,123.16
