Site_ID,Grade_Description,Date,Price,Fuel Cost
10808,Midgrade Gas,2/3/2019,2.159,1.52088646
10808,Premium Gas,2/3/2019,2.349,1.630057599
10808,Unleaded Gas,2/3/2019,1.799,1.4369
10808,Midgrade Gas,2/4/2019,2.159,1.55312735
10808,Premium Gas,2/4/2019,2.349,1.603465193
10808,Unleaded Gas,2/4/2019,1.799,1.4323
10808,Midgrade Gas,2/5/2019,2.159,1.535827484
10808,Premium Gas,2/5/2019,2.349,1.621805829
10808,Unleaded Gas,2/5/2019,1.799,1.4259
10808,Midgrade Gas,2/6/2019,2.219,1.580567196
10808,Premium Gas,2/6/2019,2.409,1.664934657
10808,Unleaded Gas,2/6/2019,1.859,1.4591
10808,Midgrade Gas,2/7/2019,2.259,1.51038384
10808,Premium Gas,2/7/2019,2.449,1.600839354
10808,Unleaded Gas,2/7/2019,1.899,1.4258
10808,Midgrade Gas,2/8/2019,2.259,1.53087127
10808,Premium Gas,2/8/2019,2.449,1.622310273
10808,Unleaded Gas,2/8/2019,1.899,1.4464
10808,Midgrade Gas,2/9/2019,2.259,1.567499372
10808,Premium Gas,2/9/2019,2.449,1.6448878
10808,Unleaded Gas,2/9/2019,1.899,1.4464
10808,Midgrade Gas,2/10/2019,2.259,1.542481066
10808,Premium Gas,2/10/2019,2.449,1.61706909
10808,Unleaded Gas,2/10/2019,1.899,1.4464
10808,Midgrade Gas,2/11/2019,2.259,1.530891954
10808,Premium Gas,2/11/2019,2.449,1.60545768
10808,Unleaded Gas,2/11/2019,1.899,1.4192
10808,Midgrade Gas,2/12/2019,2.259,1.546970634
10808,Premium Gas,2/12/2019,2.449,1.652164884
10808,Unleaded Gas,2/12/2019,1.899,1.4272
10808,Midgrade Gas,2/13/2019,2.319,1.542813084
10808,Premium Gas,2/13/2019,2.509,1.669566759
10808,Unleaded Gas,2/13/2019,1.959,1.4651
10808,Midgrade Gas,2/14/2019,2.319,1.621726421
10808,Premium Gas,2/14/2019,2.509,1.690293238
10808,Unleaded Gas,2/14/2019,1.959,1.5085
