LocationID,ShipToNumber,StoreBrand,FuelBrand,ShipToCity,ShipToState,ShipToCountry,Latitude,Longitude
616,497645200,Sunoco,Sunoco,TAMPA,FL,US,27.95722,-82.48385
617,290344100,Sunoco,Sunoco,LAKELAND,FL,US,28.03298,-82.03085
618,335085703,Sunoco,Sunoco,OXFORD,PA,US,39.804223,-75.96878
619,106055700,Sunoco,Sunoco,KENYON,RI,US,41.442898,-71.630499
620,498589100,Sunoco,Sunoco,WORCESTER,MA,US,42.270935,-71.806311
621,855212700,Sunoco,Sunoco,TORRINGTON,CT,US,41.80392,-73.12769
622,338236300,Sunoco,Sunoco,DALLAS,TX,US,0,0
623,680666500,Sunoco,Sunoco,ORANGEBURG,SC,US,33.485179,-80.831551
624,388676900,Sunoco,Sunoco,BRISTOL,CT,US,41.689822,-72.92651
625,390571800,Sunoco,Sunoco,PLAINVILLE,CT,US,41.672568,-72.836493
626,187497300,Sunoco,Sunoco,BRIDGEPORT,CT,US,41.188746,-73.180895
627,534738000,Sunoco,Sunoco,EAST GREENWICH,RI,US,0,0
628,233222900,Sunoco,Sunoco,WALLINGFORD,CT,US,41.46774,-72.833088
629,569675200,Sunoco,Sunoco,NIANTIC,CT,US,41.33313,-72.19975
630,980060800,Sunoco,Sunoco,DUNCAN,SC,US,34.954566,-82.168502
631,268694700,Sunoco,Sunoco,MANCHESTER,NH,US,42.9956,-71.452437
632,268164100,Sunoco,Sunoco,KANONA,NY,US,42.376719,-77.361988
633,971734900,Sunoco,Sunoco,WORCESTER,MA,US,42.24381,-71.82052
634,981807100,Sunoco,Sunoco,ASHLAND,VA,US,37.760641,-77.455817
635,52591500,Exxon,Exxon,LAUREL,MD,US,39.16114,-76.89249
636,690414800,Exxon,Exxon,RICHMOND,VA,US,37.58178,-77.49363
637,888021300,Exxon,Exxon,BOYDTON,VA,US,36.66262,-78.40707
638,210127700,Exxon,Exxon,RICHMOND,VA,US,37.57308,-77.48306
639,225371400,Exxon,Exxon,RICHMOND,VA,US,37.56416,-77.49682
640,769551300,Exxon,Exxon,RICHMOND,VA,US,37.49776,-77.56837
641,193532900,Exxon,Exxon,RICHMOND,VA,US,37.60454,-77.56915
642,184207900,Exxon,Exxon,RICHMOND,VA,US,37.58352,-77.55431
643,641908900,Exxon,Exxon,SOUTH HILL,VA,US,36.71729,-78.1606
644,389525700,Exxon,Exxon,RICHMOND,VA,US,37.51578,-77.43089
645,301099800,Exxon,Exxon,GERMANTOWN,MD,US,39.17949,-77.26799
646,436093900,Exxon,Exxon,COLUMBIA,MD,US,39.17148,-76.86556
647,992533000,Exxon,Exxon,ROCKVILLE,MD,US,39.09755,-77.1364
648,368089900,Exxon,Exxon,SILVER SPRING,MD,US,39.05718,-77.08415
649,884676800,Exxon,Exxon,GLEN BURNIE,MD,US,39.19373,-76.61332
650,238579700,Exxon,Exxon,ANNAPOLIS,MD,US,38.95083,-76.49457
651,885906800,Exxon,Exxon,COLUMBIA,MD,US,39.20754,-76.81369
652,967418500,Exxon,Exxon,LAUREL,MD,US,39.1196,-76.85092
653,428654800,Exxon,Exxon,MYERSVILLE,MD,US,39.49913,-77.5679
654,719403800,Exxon,Exxon,LEESBURG,VA,US,39.1137,-77.53978
655,853063600,Exxon,Exxon,ROCKVILLE,MD,US,39.06288,-77.11641
656,13955000,Exxon,Exxon,DUMFRIES,VA,US,38.5834,-77.32989
657,703353300,Exxon,Exxon,BALTIMORE,MD,US,39.31504,-76.5442
658,64276900,Exxon,Exxon,CHESTER,MD,US,38.9741,-76.28046
659,445405400,Exxon,Exxon,BALTIMORE,MD,US,39.39825,-76.53747
660,182676700,Exxon,Exxon,SILVER SPRING,MD,US,38.99965,-76.99544
661,388331100,Exxon,Exxon,BETHESDA,MD,US,38.98921,-77.10157
662,456845700,Exxon,Exxon,SILVER SPRING,MD,US,38.99321,-77.02406
663,284081700,Exxon,Exxon,BALTIMORE,MD,US,39.3592,-76.59451
664,634388300,Exxon,Exxon,BALTIMORE,MD,US,39.32017,-76.57135
665,241878800,Exxon,Exxon,FREDERICK,MD,US,39.4084,-77.42767
666,65157000,Exxon,Exxon,PASADENA,MD,US,39.12612,-76.58949
667,81577900,Exxon,Exxon,LUTHERVILLE-TIMONIUM,MD,US,39.41849,-76.66814
668,411072200,Exxon,Exxon,BALTIMORE,MD,US,39.39037,-76.5437
669,820901700,Exxon,Exxon,WOODBRIDGE,VA,US,38.68145,-77.31989
670,371196700,Exxon,Exxon,ABINGDON,MD,US,39.47934,-76.31058
671,735554800,Exxon,Exxon,REISTERSTOWN,MD,US,39.44759,-76.81483
672,653727800,Exxon,Exxon,FREDERICK,MD,US,39.44833,-77.3863
673,596548800,Exxon,Exxon,ARNOLD,MD,US,39.02911,-76.50382
674,688588300,Exxon,Exxon,ELLICOTT CITY,MD,US,39.27973,-76.86452
675,761808500,Exxon,Exxon,ROCKVILLE,MD,US,39.08041,-77.14396
676,969288000,Exxon,Exxon,SILVER SPRING,MD,US,39.06356,-76.96588
677,560276800,Exxon,Exxon,CHANTILLY,VA,US,38.89028,-77.42156
678,621095900,Exxon,Exxon,WOODBRIDGE,VA,US,38.6738,-77.3371
679,701342800,Exxon,Exxon,MIDDLEBURG,VA,US,38.97003,-77.73287
680,724763800,Exxon,Exxon,WOODBRIDGE,VA,US,38.6395,-77.26748
681,481038800,Exxon,Exxon,COCKEYSVILLE,MD,US,39.49292,-76.64904
682,419191200,Exxon,Exxon,BETHESDA,MD,US,39.02502,-77.12531
683,724491600,Exxon,Exxon,WOODBRIDGE,VA,US,38.67463,-77.25485
684,382995900,Exxon,Exxon,SILVER SPRING,MD,US,39.02242,-76.97761
685,588487900,Exxon,Exxon,BALTIMORE,MD,US,39.36105,-76.64608
686,795802800,Exxon,Exxon,TOWSON,MD,US,39.40203,-76.59977
687,453550600,Exxon,Exxon,TOWSON,MD,US,39.40704,-76.60681
688,190331900,Exxon,Exxon,SEVERNA PARK,MD,US,39.07954,-76.54776
689,364222000,Exxon,Exxon,SILVER SPRING,MD,US,39.04102,-77.05165
690,567474200,Exxon,Exxon,BALTIMORE,MD,US,39.35183,-76.68341
691,222253700,Exxon,Exxon,HERNDON,VA,US,38.96901,-77.38047
692,796627800,Exxon,Exxon,BETHESDA,MD,US,38.97,-77.13675
693,364538900,Exxon,Exxon,BALTIMORE,MD,US,39.29302,-76.59813
694,916169600,Exxon,Exxon,OAKTON,VA,US,38.88041,-77.30179
695,556034700,Exxon,Exxon,SILVER SPRING,MD,US,39.00805,-77.03998
696,301103800,Exxon,Exxon,SILVER SPRING,MD,US,39.03946,-76.99038
697,885760900,Exxon,Exxon,BALTIMORE,MD,US,39.27242,-76.63011
698,816073100,Exxon,Exxon,ANNAPOLIS,MD,US,38.98026,-76.52541
699,253374300,Exxon,Exxon,SILVER SPRING,MD,US,39.08425,-77.07787
700,971089800,Exxon,Exxon,BALTIMORE,MD,US,39.35987,-76.70713
701,287539100,Exxon,Exxon,SILVER SPRING,MD,US,39.07663,-76.95746
702,716852900,Exxon,Exxon,GAITHERSBURG,MD,US,39.12666,-77.24204
703,150176600,Exxon,Exxon,BALTIMORE,MD,US,39.3647,-76.60996
704,829728500,Exxon,Exxon,RANDALLSTOWN,MD,US,39.38059,-76.82166
705,463609800,Exxon,Exxon,MANASSAS,VA,US,38.77613,-77.50413
706,277364600,Exxon,Exxon,LINTHICUM HEIGHTS,MD,US,39.22445,-76.65924
707,66893900,Exxon,Exxon,OWINGS MILLS,MD,US,39.42157,-76.78269
708,376309100,Exxon,Exxon,ROCKVILLE,MD,US,39.04411,-77.11157
709,822900700,Exxon,Exxon,FREDERICKSBURG,VA,US,38.33831,-77.48775
710,385121900,Exxon,Exxon,BALTIMORE,MD,US,39.31297,-76.44876
711,886356500,Exxon,Exxon,BALTIMORE,MD,US,39.35324,-76.75666
712,566568200,Exxon,Exxon,BALTIMORE,MD,US,39.28428,-76.74644
713,51261600,Exxon,Exxon,ELKRIDGE,MD,US,39.20686,-76.72739
714,712929900,Exxon,Exxon,WOODBRIDGE,VA,US,38.651,-77.29472
715,245779400,Exxon,Exxon,HERNDON,VA,US,38.96537,-77.39728
716,289224800,Exxon,Exxon,ANNAPOLIS,MD,US,38.98525,-76.54609
717,281722900,Exxon,Exxon,JESSUP,MD,US,39.17073,-76.78669
718,792399800,Exxon,Exxon,FREDERICK,MD,US,39.32426,-77.3526
719,385292800,Exxon,Exxon,PIKESVILLE,MD,US,39.38662,-76.7363
720,787241900,Exxon,Exxon,FREDERICK,MD,US,39.43896,-77.41043
